Student
     0.004	    0.0005	      0.65	 0.7391	 0.0155	
     0.004	    0.0005	       0.7	 0.7370	 0.0155	
     0.004	    0.0005	       0.8	 0.7435	 0.0197	
     0.004	    0.0005	       0.9	 0.7503	 0.0128	
     0.004	     0.001	       0.5	 0.7362	 0.0206	
     0.004	     0.001	      0.58	 0.7381	 0.0213	
     0.004	     0.001	       0.6	 0.7412	 0.0206	
     0.004	     0.001	      0.62	 0.7391	 0.0192	
     0.004	     0.001	      0.63	 0.7369	 0.0170	
     0.004	     0.001	      0.64	 0.7404	 0.0157	
     0.004	     0.001	      0.65	 0.7390	 0.0181	
     0.004	     0.001	       0.7	 0.7373	 0.0173	
     0.004	     0.001	       0.8	 0.7417	 0.0179	
     0.004	     0.001	       0.9	 0.7496	 0.0152	
Student
     0.001	    0.0005	      0.82	 0.7404	 0.0166	
     0.001	    0.0005	      0.84	 0.7480	 0.0209	
     0.001	    0.0005	      0.85	 0.7507	 0.0214	
     0.001	    0.0005	      0.88	 0.7444	 0.0184	
     0.001	    0.0005	      0.92	 0.7533	 0.0210	
     0.001	    0.0005	      0.94	 0.7536	 0.0178	
     0.001	     0.001	      0.82	 0.7440	 0.0141	
     0.001	     0.001	      0.84	 0.7508	 0.0222	
     0.001	     0.001	      0.85	 0.7474	 0.0145	
     0.001	     0.001	      0.88	 0.7474	 0.0185	
     0.001	     0.001	      0.92	 0.7524	 0.0215	
     0.001	     0.001	      0.94	 0.7537	 0.0187	
     0.004	    0.0005	      0.82	 0.7396	 0.0177	
     0.004	    0.0005	      0.84	 0.7495	 0.0217	
     0.004	    0.0005	      0.85	 0.7406	 0.0150	
     0.004	    0.0005	      0.88	 0.7441	 0.0170	
     0.004	    0.0005	      0.92	 0.7513	 0.0152	
     0.004	    0.0005	      0.94	 0.7506	 0.0233	
     0.004	     0.001	      0.82	 0.7403	 0.0145	
     0.004	     0.001	      0.84	 0.7496	 0.0169	
     0.004	     0.001	      0.85	 0.7422	 0.0177	
     0.004	     0.001	      0.88	 0.7459	 0.0173	
     0.004	     0.001	      0.92	 0.7543	 0.0190	
     0.004	     0.001	      0.94	 0.7549	 0.0198	
Student
     0.001	    0.0005	      0.95	 0.7508	 0.0173	
     0.001	    0.0005	      0.96	 0.7464	 0.0168	
     0.001	    0.0005	      0.97	 0.7299	 0.0327	
     0.001	    0.0005	      0.98	 0.6803	 0.0492	
     0.001	    0.0005	      0.99	 0.5545	 0.0645	
     0.001	     0.001	      0.95	 0.7527	 0.0159	
     0.001	     0.001	      0.96	 0.7477	 0.0181	
     0.001	     0.001	      0.97	 0.7243	 0.0321	
     0.001	     0.001	      0.98	 0.6767	 0.0493	
     0.001	     0.001	      0.99	 0.5520	 0.0673	
     0.004	    0.0005	      0.95	 0.7360	 0.0274	
     0.004	    0.0005	      0.96	 0.7239	 0.0367	
     0.004	    0.0005	      0.97	 0.6991	 0.0461	
     0.004	    0.0005	      0.98	 0.5976	 0.0438	
     0.004	    0.0005	      0.99	 0.4789	 0.0506	
     0.004	     0.001	      0.95	 0.7414	 0.0249	
     0.004	     0.001	      0.96	 0.7172	 0.0438	
     0.004	     0.001	      0.97	 0.6842	 0.0426	
     0.004	     0.001	      0.98	 0.5996	 0.0502	
     0.004	     0.001	      0.99	 0.4651	 0.0591	
Student
     0.004	     0.001	      0.93	 0.7516	 0.0226	
     0.004	     0.001	     0.935	 0.7526	 0.0207	
     0.004	     0.001	     0.938	 0.7517	 0.0211	
     0.004	     0.001	     0.942	 0.7503	 0.0200	
     0.004	     0.001	     0.943	 0.7488	 0.0211	
     0.004	     0.001	     0.945	 0.7440	 0.0261	
     0.004	     0.001	     0.946	 0.7430	 0.0282	
     0.004	     0.001	     0.947	 0.7420	 0.0282	
Student
     0.003	     0.001	      0.92	 0.7505	 0.0177	
     0.003	     0.001	      0.94	 0.7543	 0.0180	
     0.004	     0.001	      0.92	 0.7543	 0.0190	
     0.004	     0.001	      0.94	 0.7549	 0.0198	
    0.0045	     0.001	      0.92	 0.7497	 0.0164	
    0.0045	     0.001	      0.94	 0.7476	 0.0220	
     0.005	     0.001	      0.92	 0.7577	 0.0170	
     0.005	     0.001	      0.94	 0.7461	 0.0188	
     0.006	     0.001	      0.92	 0.7501	 0.0203	
     0.006	     0.001	      0.94	 0.7439	 0.0231	
      0.01	     0.001	      0.92	 0.7477	 0.0200	
      0.01	     0.001	      0.94	 0.7382	 0.0210	
     0.012	     0.001	      0.92	 0.7505	 0.0191	
     0.012	     0.001	      0.94	 0.7276	 0.0314	
     0.015	     0.001	      0.92	 0.7423	 0.0233	
     0.015	     0.001	      0.94	 0.7209	 0.0267	
      0.02	     0.001	      0.92	 0.7381	 0.0227	
      0.02	     0.001	      0.94	 0.7133	 0.0257	
